platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status
linkedin,li_cre_27,2025-12-04 07:00:00+00:00,228,15,0.100027,USD,VALIDATED,ACTIVE
linkedin,li_cre_356,2025-09-29 21:00:00+00:00,399,28,0.227195,USD,VALIDATED,ACTIVE
linkedin,li_cre_563,2025-12-16 09:00:00+00:00,142,4,0.116857,USD,VALIDATED,ACTIVE
linkedin,li_cre_1291,2025-11-20 19:00:00+00:00,73,1,0.016708,USD,ENRICHED,ACTIVE
linkedin,li_cre_1585,2025-11-29 18:00:00+00:00,95,7,0.053815,USD,VALIDATED,ACTIVE
linkedin,li_cre_1271,2025-10-02 03:00:00+00:00,67,4,0.076615,USD,VALIDATED,ACTIVE
linkedin,li_cre_1865,2025-11-26 13:00:00+00:00,108,0,0.137465,USD,ENRICHED,ACTIVE
linkedin,li_cre_370,2025-12-15 18:00:00+00:00,131,3,0.071107,USD,VALIDATED,DRAFT
linkedin,li_cre_944,2025-10-11 10:00:00+00:00,115,7,0.079665,USD,PUBLISHED,LIMITED
linkedin,li_cre_740,2025-10-24 18:00:00+00:00,200,0,0.199252,USD,VALIDATED,PAUSED
linkedin,li_cre_2252,2025-10-24 05:00:00+00:00,129,3,0.097762,USD,ENRICHED,ACTIVE
linkedin,li_cre_2636,2025-11-04 02:00:00+00:00,281,9,0.164338,USD,VALIDATED,DRAFT
linkedin,li_cre_1380,2025-10-24 15:00:00+00:00,122,5,0.037486,USD,PUBLISHED,ACTIVE
linkedin,li_cre_2692,2025-12-13 15:00:00+00:00,149,1,0.142786,USD,PUBLISHED,PAUSED
linkedin,li_cre_1810,2025-12-27 17:00:00+00:00,155,3,0.123055,USD,VALIDATED,ACTIVE
linkedin,li_cre_274,2025-11-13 16:00:00+00:00,57,0,0.033412,USD,PUBLISHED,PAUSED
linkedin,li_cre_1418,2025-11-04 17:00:00+00:00,214,7,0.080379,USD,PUBLISHED,LIMITED
linkedin,li_cre_1773,2025-09-30 02:00:00+00:00,90,7,0.003036,USD,RECEIVED,ACTIVE
linkedin,li_cre_104,2026-01-06 18:00:00+00:00,125,2,0.125273,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1299,2025-10-07 07:00:00+00:00,239,2,0.435131,USD,VALIDATED,PAUSED
linkedin,li_cre_816,2026-01-03 00:00:00+00:00,381,26,0.105113,USD,VALIDATED,ACTIVE
linkedin,li_cre_416,2025-12-30 14:00:00+00:00,168,4,0.054142,USD,VALIDATED,ACTIVE
linkedin,li_cre_762,2025-09-27 06:00:00+00:00,108,9,0.086151,USD,RECEIVED,PAUSED
linkedin,li_cre_542,2025-10-10 12:00:00+00:00,143,2,0.059031,USD,ENRICHED,ACTIVE
linkedin,li_cre_89,2025-11-11 07:00:00+00:00,281,5,0.444618,USD,VALIDATED,DISAPPROVED
linkedin,li_cre_2019,2025-10-03 10:00:00+00:00,70,1,0.025077,USD,ENRICHED,ACTIVE
linkedin,li_cre_1878,2025-10-06 01:00:00+00:00,237,8,0.034862,USD,VALIDATED,DRAFT
linkedin,li_cre_1854,2025-11-07 12:00:00+00:00,180,6,0.229344,USD,VALIDATED,ACTIVE
linkedin,li_cre_2760,2025-11-29 08:00:00+00:00,119,2,0.171523,USD,ENRICHED,ARCHIVED
linkedin,li_cre_1139,2025-11-09 14:00:00+00:00,608,772,0.280522,USD,ENRICHED,ACTIVE
linkedin,li_cre_1106,2025-11-08 20:00:00+00:00,601,21,0.338667,USD,PUBLISHED,ACTIVE
linkedin,li_cre_1199,2025-09-30 21:00:00+00:00,299,26,0.403034,USD,PUBLISHED,ACTIVE
linkedin,li_cre_409,2025-12-09 03:00:00+00:00,86,12,0.119239,USD,VALIDATED,PAUSED
linkedin,li_cre_487,2025-10-10 07:00:00+00:00,332,2,0.115358,USD,VALIDATED,ACTIVE
linkedin,li_cre_798,2025-11-13 09:00:00+00:00,129,0,0.036742,USD,VALIDATED,PAUSED
