platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status,video_views
pinterest,pin_2981,2025-10-19 02:00:00+00:00,70,1,0.051531,USD,VALIDATED,DISAPPROVED,0
pinterest,pin_2878,2025-11-04 08:00:00+00:00,99,2,0.038287,USD,ENRICHED,ACTIVE,0
pinterest,pin_2687,2025-09-22 11:00:00+00:00,190,5,0.154007,USD,PUBLISHED,ACTIVE,0
pinterest,pin_2566,2025-10-11 05:00:00+00:00,149,7,0.102027,USD,ENRICHED,ARCHIVED,0
pinterest,pin_2597,2025-10-16 00:00:00+00:00,629,33,0.191419,USD,VALIDATED,PAUSED,0
pinterest,None,2025-10-12 13:00:00+00:00,593,12,0.689968,USD,VALIDATED,PAUSED,0
pinterest,pin_255,2025-10-06 06:00:00+00:00,92,1,0.017863,USD,VALIDATED,ACTIVE,0
pinterest,None,2025-12-23 13:00:00+00:00,286,31,0.430761,USD,VALIDATED,ACTIVE,0
pinterest,pin_821,2025-09-20 10:00:00+00:00,65,3,0.028325,USD,RECEIVED,ACTIVE,0
pinterest,pin_2732,2025-10-07 19:00:00+00:00,191,19,0.139595,USD,ENRICHED,DRAFT,0
pinterest,pin_341,2025-10-10 06:00:00+00:00,128,5,0.058634,USD,VALIDATED,LIMITED,0
pinterest,pin_2819,2025-12-01 21:00:00+00:00,572,708,0.02371,USD,PUBLISHED,ACTIVE,0
pinterest,pin_24,2025-12-05 22:00:00+00:00,55,5,0.085774,USD,VALIDATED,LIMITED,0
pinterest,pin_3604,2025-10-18 14:00:00+00:00,60,0,0.056161,USD,PUBLISHED,PAUSED,0
pinterest,pin_3634,2025-11-16 19:00:00+00:00,388,10,0.175056,USD,PUBLISHED,ACTIVE,0
pinterest,None,2026-01-01 12:00:00+00:00,54,3,0.028894,USD,VALIDATED,ACTIVE,0
pinterest,None,2025-12-19 08:00:00+00:00,235,2,0.240997,USD,ENRICHED,ACTIVE,0
pinterest,pin_881,2025-11-11 06:00:00+00:00,59,3,0.006835,USD,RECEIVED,ARCHIVED,0
pinterest,pin_176,2025-10-09 14:00:00+00:00,88,2,0.038382,USD,ENRICHED,DRAFT,0
pinterest,None,2025-11-18 22:00:00+00:00,171,0,0.141329,USD,ENRICHED,ACTIVE,0
pinterest,None,2025-11-21 18:00:00+00:00,423,13,0.461731,USD,VALIDATED,ACTIVE,0
pinterest,None,2025-12-12 18:00:00+00:00,67,0,0.042321,USD,VALIDATED,ACTIVE,0
pinterest,pin_3123,2025-10-11 01:00:00+00:00,233,12,0.08041,USD,PUBLISHED,LIMITED,0
pinterest,pin_2830,2025-11-21 21:00:00+00:00,303,382,0.399464,USD,ENRICHED,ACTIVE,0
pinterest,None,2025-10-25 17:00:00+00:00,41,2,0.020194,USD,PUBLISHED,ACTIVE,0
pinterest,None,2025-10-11 22:00:00+00:00,108,2,0.100145,USD,VALIDATED,ACTIVE,0
pinterest,pin_31,2025-11-14 02:00:00+00:00,244,2,0.117567,USD,ENRICHED,ACTIVE,0
pinterest,pin_2733,2026-01-09 02:00:00+00:00,265,10,0.144992,USD,RECEIVED,ACTIVE,0
pinterest,None,2025-09-28 09:00:00+00:00,109,3,0.020839,USD,VALIDATED,ACTIVE,0
