platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status,video_views
tiktok,tt_ad_11,2025-10-17 13:00:00+00:00,339,14,0.388021,USD,PUBLISHED,ENABLE,66
tiktok,tt_ad_768,2025-10-04 23:00:00+00:00,213,3,0.158278,USD,ENRICHED,ENABLE,0
tiktok,tt_ad_1766,2025-12-27 01:00:00+00:00,153,5,0.00967456038508272,USD,RECEIVED,ENABLE,0
tiktok,tt_ad_1184,2025-12-04 14:00:00+00:00,92,3,0.040344,USD,ENRICHED,ENABLE,10
tiktok,tt_ad_1111,2026-01-12 11:00:00+00:00,225,5,0.169695,USD,PUBLISHED,ENABLE,12
tiktok,tt_ad_1631,2025-10-15 16:00:00+00:00,110,2,0.021127,USD,VALIDATED,DRAFT,22
tiktok,tt_ad_544,2025-09-26 11:00:00+00:00,187,1,0.101845,USD,PUBLISHED,ENABLE,61
tiktok,tt_ad_1500,2025-11-27 14:00:00+00:00,358,23,0.189748,USD,RECEIVED,ENABLE,87
tiktok,tt_ad_1011,2025-12-09 16:00:00+00:00,246,10,0.137224,USD,PUBLISHED,ENABLE,22
tiktok,tt_ad_242,2026-01-15 12:00:00+00:00,377,22,0.443395,USD,ENRICHED,ENABLE,27
tiktok,tt_ad_986,2025-11-16 07:00:00+00:00,78,4,0.010577,USD,PUBLISHED,ENABLE,4
tiktok,tt_ad_526,2025-11-21 21:00:00+00:00,60,2,0.023887,USD,ENRICHED,LIMITED,5
tiktok,tt_ad_1096,2025-09-29 12:00:00+00:00,43,1,0.041855,USD,PUBLISHED,ENABLE,5
tiktok,tt_ad_510,2025-12-23 07:00:00+00:00,203,4,0.277713,USD,PUBLISHED,ENABLE,14
tiktok,tt_ad_358,2025-10-02 20:00:00+00:00,352,19,0.166289,USD,ENRICHED,PAUSE,37
tiktok,tt_ad_753,2025-09-23 01:00:00+00:00,204,13,0.019576,USD,PUBLISHED,LIMITED,57
tiktok,tt_ad_141,2025-12-20 04:00:00+00:00,135,4,0.153969,USD,ENRICHED,ENABLE,18
tiktok,tt_ad_1344,2025-09-29 13:00:00+00:00,117,152,0.135603,USD,ENRICHED,ENABLE,5
tiktok,tt_ad_954,2026-01-08 07:00:00+00:00,98,2,0.131775,USD,PUBLISHED,ENABLE,11
tiktok,tt_ad_974,2026-01-03 19:00:00+00:00,362,23,0.160587,USD,PUBLISHED,ENABLE,97
tiktok,tt_ad_1844,2025-12-10 14:00:00+00:00,162,8,0.159029,USD,PUBLISHED,PAUSE,0
tiktok,tt_ad_1580,2025-10-14 15:00:00+00:00,212,1,0.312909,USD,VALIDATED,ENABLE,0
tiktok,tt_ad_1701,2025-12-02 15:00:00+00:00,50,0,0.104379,USD,ENRICHED,ENABLE,0
tiktok,tt_ad_1648,2025-11-12 06:00:00+00:00,306,35,0.039376,USD,PUBLISHED,ENABLE,23
tiktok,tt_ad_1505,2025-12-18 08:00:00+00:00,229,1,0.088117,USD,RECEIVED,PAUSE,37
tiktok,tt_ad_733,2025-09-29 18:00:00+00:00,90,3,0.073637,USD,VALIDATED,ENABLE,19
tiktok,tt_ad_1826,2025-11-22 11:00:00+00:00,393,16,0.117402,USD,PUBLISHED,ENABLE,59
tiktok,tt_ad_1971,2025-10-01 18:00:00+00:00,197,8,0.093905,USD,ENRICHED,PAUSE,16
tiktok,tt_ad_373,2025-10-27 16:00:00+00:00,231,2,0.048294,USD,RECEIVED,LIMITED,36
tiktok,tt_ad_3,2025-10-22 18:00:00+00:00,78,2,0.038298,USD,PUBLISHED,ENABLE,0
tiktok,tt_ad_1164,2025-12-27 06:00:00+00:00,152,4,0.070674,USD,VALIDATED,ENABLE,13
tiktok,tt_ad_1443,2025-12-26 21:00:00+00:00,251,3,0.445349,USD,PUBLISHED,PAUSE,0
tiktok,tt_ad_81,2025-09-25 08:00:00+00:00,133,4,0.06476,USD,ENRICHED,ENABLE,37
tiktok,tt_ad_54,2025-11-28 20:00:00+00:00,70,2,0.072376,USD,VALIDATED,ENABLE,0
