platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status,video_views
x,None,2025-11-24 18:00:00+00:00,229,9,0.182187,USD,VALIDATED,ACTIVE,0
x,x_tweet_2191,2025-12-12 01:00:00+00:00,431,28,0.250691,USD,PUBLISHED,ACTIVE,0
x,x_tweet_706,2025-09-21 07:00:00+00:00,109,5,0.153339,USD,VALIDATED,ACTIVE,0
x,x_tweet_63,2025-12-26 12:00:00+00:00,119,11,0.075247,USD,VALIDATED,LIMITED,0
x,x_tweet_2129,2025-12-09 03:00:00+00:00,118,4,0.005555,USD,VALIDATED,ACTIVE,0
x,x_tweet_716,2026-01-06 01:00:00+00:00,428,59,0.10461,USD,RECEIVED,ACTIVE,0
x,None,2025-12-01 20:00:00+00:00,313,29,0.267485,USD,PUBLISHED,ACTIVE,0
x,x_tweet_2403,2025-11-29 09:00:00+00:00,81,0,0.085179,USD,VALIDATED,ACTIVE,0
x,x_tweet_2276,2025-11-30 09:00:00+00:00,278,17,0.134408,USD,ENRICHED,PAUSED,0
x,x_tweet_598,2025-10-31 23:00:00+00:00,150,2,0.177146,USD,VALIDATED,ACTIVE,0
x,x_tweet_1912,2025-11-19 05:00:00+00:00,94,1,0.099978,USD,ENRICHED,ACTIVE,0
x,x_tweet_276,2025-10-23 10:00:00+00:00,162,2,0.342573,USD,VALIDATED,ACTIVE,0
x,x_tweet_2554,2025-10-16 17:00:00+00:00,230,3,0.076088,USD,RECEIVED,ACTIVE,0
x,x_tweet_1913,2025-10-08 10:00:00+00:00,46,5,0.020777,USD,VALIDATED,ACTIVE,0
x,x_tweet_1608,2025-12-26 10:00:00+00:00,187,1,0.16066,USD,ENRICHED,ACTIVE,0
x,None,2025-09-22 05:00:00+00:00,129,6,0.03766,USD,ENRICHED,ACTIVE,0
x,None,2025-12-09 21:00:00+00:00,115,2,0.069664,USD,PUBLISHED,ACTIVE,0
