platform,ad_id,timestamp_utc,impressions,clicks,spend,currency,pipeline_status,ad_lifecycle_status,video_views
youtube,None,2025-10-23 07:00:00+00:00,229,10,0.035672,USD,PUBLISHED,DISAPPROVED,48
youtube,gg_ad_1879,2025-11-21 15:00:00+00:00,396,5,0.32269,USD,RECEIVED,PAUSED,83
youtube,None,2025-10-24 19:00:00+00:00,54,3,0.040173,USD,PUBLISHED,REMOVED,8
youtube,gg_ad_2291,2025-12-07 21:00:00+00:00,393,31,0.591229,USD,ENRICHED,ENABLED,102
youtube,gg_ad_1207,2025-10-03 16:00:00+00:00,468,16,0.240627,USD,PUBLISHED,PAUSED,137
youtube,gg_ad_791,2025-12-29 15:00:00+00:00,145,12,-0.081291,USD,PUBLISHED,ENABLED,5
youtube,gg_ad_839,2025-11-15 14:00:00+00:00,523,58,0.644823,USD,PUBLISHED,ENABLED,24
youtube,gg_ad_973,2025-12-10 23:00:00+00:00,56,0,0.061487,USD,ENRICHED,DISAPPROVED,18
youtube,gg_ad_767,2025-12-04 13:00:00+00:00,219,26,0.105452,USD,ENRICHED,DRAFT,110
youtube,gg_ad_2050,2025-10-22 18:00:00+00:00,110,7,0.13132,USD,PUBLISHED,ENABLED,15
youtube,None,2025-10-21 11:00:00+00:00,79,1,0.092613,USD,PUBLISHED,ENABLED,32
youtube,gg_ad_1231,2025-10-23 17:00:00+00:00,761,103,0.352455,USD,VALIDATED,LIMITED,0
youtube,gg_ad_2210,2026-01-01 02:00:00+00:00,131,1,0.103501,USD,VALIDATED,ENABLED,2
youtube,gg_ad_600,2025-12-04 15:00:00+00:00,132,3,0.117677,USD,PUBLISHED,PAUSED,18
youtube,gg_ad_2477,2026-01-06 08:00:00+00:00,104,3,0.150213,USD,RECEIVED,ENABLED,20
youtube,gg_ad_819,2025-11-25 05:00:00+00:00,240,2,0.398905,USD,VALIDATED,DRAFT,56
youtube,gg_ad_1642,2025-12-30 11:00:00+00:00,404,22,0.336661,USD,ENRICHED,ENABLED,103
youtube,None,2025-11-18 12:00:00+00:00,50,3,0.007935,USD,PUBLISHED,ENABLED,13
youtube,gg_ad_1574,2025-12-06 03:00:00+00:00,217,15,0.096732,USD,PUBLISHED,ENABLED,114
youtube,gg_ad_2072,2026-01-03 13:00:00+00:00,121,6,0.150035,USD,VALIDATED,DRAFT,0
youtube,gg_ad_358,2025-12-17 22:00:00+00:00,70,1,0.015298,USD,ENRICHED,PAUSED,10
youtube,gg_ad_492,2025-11-21 02:00:00+00:00,327,6,0.235518,USD,VALIDATED,ENABLED,80
youtube,gg_ad_1200,2025-11-23 18:00:00+00:00,87,5,0.104901,USD,VALIDATED,ENABLED,0
youtube,gg_ad_2481,2025-11-06 12:00:00+00:00,65,4,0.04946,USD,RECEIVED,REMOVED,8
youtube,gg_ad_1930,2025-12-22 23:00:00+00:00,248,18,0.040661,USD,ENRICHED,ENABLED,0
youtube,gg_ad_316,2025-11-21 12:00:00+00:00,198,1,0.1364,USD,PUBLISHED,ENABLED,25
youtube,gg_ad_1817,2025-11-19 17:00:00+00:00,188,11,0.296276,USD,PUBLISHED,ENABLED,48
youtube,gg_ad_1437,2026-01-06 18:00:00+00:00,68,2,0.040631,USD,PUBLISHED,ENABLED,8
youtube,None,2025-11-24 20:00:00+00:00,104,1,0.012683,USD,RECEIVED,ENABLED,20
youtube,None,2025-11-27 21:00:00+00:00,233,13,0.058196,USD,VALIDATED,DISAPPROVED,50
youtube,None,2026-01-07 22:00:00+00:00,115,4,0.070447,USD,ENRICHED,PAUSED,26
youtube,gg_ad_2202,2025-09-23 15:00:00+00:00,251,6,0.144998,USD,VALIDATED,PAUSED,95
youtube,gg_ad_1232,2025-12-27 06:00:00+00:00,268,1,0.159717,USD,VALIDATED,ENABLED,25
youtube,gg_ad_902,2025-10-27 17:00:00+00:00,297,11,0.161916,USD,ENRICHED,REMOVED,88
youtube,gg_ad_97,2025-12-10 07:00:00+00:00,534,4,0.481754,USD,VALIDATED,ENABLED,100
youtube,gg_ad_2265,2025-12-24 05:00:00+00:00,84,3,0.020408,USD,ENRICHED,ENABLED,1
youtube,None,2025-09-27 15:00:00+00:00,118,7,0.027164,USD,PUBLISHED,DRAFT,55
youtube,None,2025-12-02 06:00:00+00:00,131,13,0.106926,USD,ENRICHED,REMOVED,16
youtube,gg_ad_1678,2025-11-22 10:00:00+00:00,211,21,0.101869,USD,VALIDATED,ENABLED,48
youtube,gg_ad_2113,2025-10-31 16:00:00+00:00,104,3,0.100223,USD,PUBLISHED,PAUSED,41
youtube,gg_ad_2415,2025-10-06 18:00:00+00:00,171,1,0.145843,USD,VALIDATED,PAUSED,0
youtube,None,2025-10-09 20:00:00+00:00,186,5,0.092439,USD,ENRICHED,ENABLED,12
youtube,gg_ad_694,2025-11-24 06:00:00+00:00,183,226,0.246542,USD,RECEIVED,ENABLED,0
youtube,gg_ad_150,2025-12-16 01:00:00+00:00,141,155,0.083423,USD,ENRICHED,ENABLED,9
youtube,gg_ad_37,2025-10-14 21:00:00+00:00,363,6,0.149763,USD,PUBLISHED,ENABLED,119
youtube,gg_ad_2454,2025-12-17 16:00:00+00:00,138,14,0.24504,USD,PUBLISHED,ENABLED,44
youtube,gg_ad_927,2025-11-12 18:00:00+00:00,303,15,0.058401,USD,PUBLISHED,ENABLED,122
youtube,gg_ad_2441,2025-10-25 02:00:00+00:00,394,27,0.247007,USD,PUBLISHED,ENABLED,139
youtube,gg_ad_780,2025-12-21 09:00:00+00:00,156,9,0.159511,USD,PUBLISHED,ENABLED,30
youtube,gg_ad_1459,2025-10-21 20:00:00+00:00,113,10,0.025813,USD,PUBLISHED,PAUSED,0
youtube,gg_ad_2374,2025-10-29 14:00:00+00:00,611,76,0.565807,USD,VALIDATED,ENABLED,208
youtube,None,2025-11-19 14:00:00+00:00,255,10,0.050145,USD,ENRICHED,ENABLED,50
youtube,gg_ad_254,2025-11-09 17:00:00+00:00,30,0,0.028853,USD,VALIDATED,ENABLED,3
youtube,gg_ad_1987,2026-01-14 00:00:00+00:00,87,1,0.147338,USD,RECEIVED,LIMITED,3
youtube,gg_ad_774,2026-01-06 13:00:00+00:00,27,0,0.016769,USD,ENRICHED,REMOVED,4
youtube,gg_ad_1405,2025-09-25 21:00:00+00:00,309,2,0.033635,USD,VALIDATED,ENABLED,14
youtube,gg_ad_159,2025-10-17 04:00:00+00:00,420,24,-0.221259,USD,PUBLISHED,ENABLED,12
youtube,gg_ad_2233,2025-11-25 07:00:00+00:00,101,2,0.132959,USD,ENRICHED,ENABLED,40
youtube,None,2025-10-14 22:00:00+00:00,534,3,0.055825,USD,PUBLISHED,PAUSED,169
