account,campaign_group,campaign,creative,share_id,timeRange_start_utc,timeRange_end_utc,member_device,placement_name,creative_format,video_duration_sec,video_views,v25,v50,v75,v100,avg_watch_time_sec,impressions,clicks,spend_local,currency_code,pipeline_status,lifecycle_status,quarantine_reason,ingestion_time,row_id,row_hash,source_file,ingested_at_utc
li_acct_4,,li_camp_142,li_cre_27,li_sh_385,2025-12-04T07:00:00+00:00,2025-12-04T08:00:00+00:00,Mobile,Right Rail,SINGLE_IMAGE,,,,,,,,228,15,0.100027,PHP,VALIDATED,ACTIVE,,2025-12-04T07:00:00+00:00,row_8q6c6re1m8ku,hash_y3c551ay09soi3,linkedin_20251204_07.csv,2025-12-06T07:11:00+00:00
li_acct_6,li_cg_9,li_camp_151,li_cre_356,,2025-09-29T21:00:00+00:00,2025-09-29T22:00:00+00:00,Moble,Right Rail,CAROUSEL,,,,,,,,399,28,0.227195,USD,VALIDATED,ACTIVE,,2025-09-29T21:00:00+00:00,row_hsqca09c3yod,hash_soo6jefzqz5a18,linkedin_20250929_21.csv,2025-09-29T22:03:00+00:00
li_acct_14,li_cg_54,li_camp_78,li_cre_1289,,2026-01-03T04:00:00+00:00,2026-01-03T05:00:00+00:00,Other,Right Rail,EVENT_AD,,,,,,,,76,5,0.141798,SGD,QUARANTINED,LIMITED,,2026-01-03T06:00:00+00:00,row_8gciwik4e2be,hash_oochei80lnsej3,linkedin_20260103_04.csv,2026-01-03T05:37:00+00:00
li_acct_7,,li_camp_53,li_cre_563,,2025-12-16T09:00:00+00:00,2025-12-16T10:00:00+00:00,Mobile,Audience Network,SINGLE_IMAGE,,,,,,,,142,4,0.116857,PHP,VALIDATED,ACTIVE,,2025-12-16T09:00:00+00:00,row_8epbwelu15yy,hash_zohgqj1yzojyxt,linkedin_20251216_09.csv,2025-12-16T10:45:00+00:00
li_acct_11,li_cg_59,li_camp_175,li_cre_1291,,2025-11-20T19:00:00+00:00,2025-11-20T20:00:00+00:00,Desktop,Audience Network,VIDEO,6.0,11.0,9.0,3.0,4.0,0.0,1.6,73,1,0.016708,USD,ENRICHED,ACTIVE,,2025-11-21T07:00:00+00:00,row_qpdseh1e91wn,hash_6q3npm1fh4ub22,linkedin_20251120_19.csv,2025-11-20T19:49:00+00:00
li_acct_4,li_cg_33,li_camp_72,li_cre_1585,,2025-11-29T18:00:00+00:00,2025-11-29T19:00:00+00:00,Moble,Audience Network,EVENT_AD,,,,,,,,95,7,0.053815,USD,VALIDATED,ACTIVE,,2025-11-29T18:00:00+00:00,row_tbg6qay22tce,hash_90edu4l6fp3fbv,linkedin_20251129_18.csv,2025-11-30T06:05:00+00:00
li_acct_7,li_cg_27,li_camp_80,li_cre_1271,li_sh_848,2025-10-02T03:00:00+00:00,2025-10-02T04:00:00+00:00,Moble,Right Rail,VIDEO,,6.0,3.0,0.0,2.0,2.0,10.27,67,4,0.076615,PHP,VALIDATED,ACTIVE,,2025-10-02T03:00:00+00:00,row_kc8q3e28tkil,hash_brgnfiqq7vmgjp,linkedin_20251002_03.csv,2025-10-04T03:33:00+00:00
li_acct_11,li_cg_18,li_camp_73,li_cre_1865,,2025-11-26T13:00:00+00:00,2025-11-26T14:00:00+00:00,Moble,Right Rail,MESSAGE_AD,,,,,,,,108,0,0.137465,EUR,ENRICHED,ACTIVE,,2025-11-27T01:00:00+00:00,row_kche997mhpuj,hash_n484v5c9px8ksf,linkedin_20251126_13.csv,2025-11-26T19:53:00+00:00
li_acct_4,li_cg_12,li_camp_40,li_cre_370,,2025-12-15T18:00:00+00:00,2025-12-15T19:00:00+00:00,Mobile,Feed,SINGLE_IMAGE,,,,,,,,131,3,0.071107,SGD,VALIDATED,DRAFT,,2025-12-16T06:00:00+00:00,row_2uelzl2pf7c4,hash_3pjtkwpt52urqk,linkedin_20251215_18.csv,2025-12-16T00:59:00+00:00
li_acct_3,,li_camp_165,li_cre_944,li_sh_21,2025-10-11T10:00:00+00:00,2025-10-11T11:00:00+00:00,Mobile,Right Rail,MESSAGE_AD,,,,,,,,115,7,0.079665,USD,PUBLISHED,LIMITED,,2025-10-11T12:00:00+00:00,row_f6lek9zopurv,hash_srwv7uyzxso7o0,linkedin_20251011_10.csv,2025-10-11T16:57:00+00:00
