meta_account_id,meta_campaign_id,meta_adset_id,meta_ad_id,meta_creative_id,hour_start_local,account_timezone,device_platform,publisher_platform,placement,ad_format,video_duration_sec,video_view_2s,video_view_6s,video_view_25pct,video_view_50pct,video_view_75pct,video_view_100pct,avg_watch_time_sec,impressions,clicks_all,link_clicks,spend,currency,delivery_status,pipeline_status,rejection_reason,event_hour,row_id,row_hash,source_file,ingested_at_utc
meta_acct_5,meta_camp_44,meta_adset_288,meta_ad_684,meta_cr_1005,2025-09-28 06:00:00,Asia/Singapore,mobile,facebook,right_column,CAROUSEL,,,,,,,,,72,3,0,0.056659,PHP,ACTIVE,VALIDATED,,2025-09-27T22:00:00+00:00,row_dvclq6df2a6u,hash_j41m2hvs3lo1sy,meta_20250927_22.csv,2025-09-28T22:49:00+00:00
meta_acct_3,meta_camp_117,meta_adset_250,meta_ad_1348,meta_cr_1073,2026-01-06 06:00:00,Asia/Singapore,MOBILE,instagram,right_column,IMAGE,,,,,,,,,117,9,3,0.039739,SGD,DRAFT,PUBLISHED,,2026-01-05T22:00:00+00:00,row_ocqumgdwamit,hash_06w98wirg9q1be,meta_20260105_22.csv,2026-01-06T10:35:00+00:00
meta_acct_3,meta_camp_11,meta_adset_222,meta_ad_18,meta_cr_2195,2025-10-22 07:00:00,Asai/Manila,moblie,facebook,feed,CAROUSEL,,,,,,,,,285,32,7,0.042742,USD,ACTIVE,RECEIVED,,2025-10-21T23:00:00+00:00,row_9jr1mmx85pzy,hash_nic5cstfx61oe9,meta_20251021_23.csv,2025-10-22T23:01:00+00:00
meta_acct_1,meta_camp_21,meta_adset_268,meta_ad_666,meta_cr_2117,2025-12-16 14:00:00,Asia/Singapore,moblie,instagram,in_stream,VIDEO,45.0,1.0,0.0,0.0,1.0,0.0,1.0,22.59,20,0,0,0.010167,USD,ACTIVE,VALIDATED,,2025-12-16T06:00:00+00:00,row_0iud7i5jbs8s,hash_16ajivdte67e6r,meta_20251216_06.csv,2025-12-16T06:34:00+00:00
meta_acct_20,meta_camp_82,meta_adset_4,meta_ad_1232,meta_cr_2496,2025-11-26 07:00:00,Asai/Manila,MOBILE,instagram,in_stream,IMAGE,,,,,,,,,392,3,1,0.197971,SGD,LIMITED,PUBLISHED,,2025-11-25T23:00:00+00:00,row_b5nypm1m13g9,hash_cos3gun7ej3l7b,meta_20251125_23.csv,2025-11-25T23:44:00+00:00
meta_acct_8,meta_camp_89,meta_adset_234,meta_ad_1027,meta_cr_2356,2025-11-24 14:00:00,,desktop,instagram,in_stream,UNKNOWN,,,,,,,,,240,23,15,0.052172,USD,ACTIVE,VALIDATED,,2025-11-24T06:00:00+00:00,row_epretqtln7vb,hash_s6v8z6a0i55k9m,meta_20251124_06.csv,2025-11-24T06:11:00+00:00
meta_acct_4,meta_camp_57,meta_adset_314,meta_ad_1117,meta_cr_2284,2025-09-26 17:00:00,,deskotp,facebook,search_results,VIDEO,45.0,40.0,21.0,29.0,22.0,25.0,20.0,2.16,388,2,0,0.257742,PHP,LIMITED,PUBLISHED,,2025-09-26T09:00:00+00:00,row_7o2du1pmrhhi,hash_b6c7axtb705pkg,meta_20250926_09.csv,2025-09-26T09:40:00+00:00
meta_acct_14,meta_camp_51,meta_adset_287,meta_ad_387,meta_cr_1598,2025-10-08 13:00:00,Asia/Manila,moblie,instagram,stories,IMAGE,,,,,,,,,96,7,0,0.071145,PHP,ACTIVE,VALIDATED,,2025-10-08T05:00:00+00:00,row_f06eq5taskh7,hash_d31vlcy8ger4a2,meta_20251008_05.csv,2025-10-08T05:18:00+00:00
meta_acct_3,meta_camp_18,meta_adset_343,meta_ad_85,meta_cr_1471,2025-10-04 01:00:00,Asai/Manila,desktop,facebook,in_stream,UNKNOWN,,,,,,,,,88,3,1,0.104889,PHP,ACTIVE,VALIDATED,,2025-10-03T17:00:00+00:00,row_2mfykymictdi,hash_iua56x5t69tnep,meta_20251003_17.csv,2025-10-03T19:15:00+00:00
meta_acct_20,meta_camp_42,meta_adset_228,meta_ad_215,meta_cr_2443,2025-09-25 00:00:00,Asia/Singapore,unknown,instagram,feed,STORY,,,,,,,,,132,1,0,0.087457,usd,ACTIVE,RECEIVED,,2025-09-24T16:00:00+00:00,row_hm2k69fa016y,hash_2nd9vj6ccjeows,meta_20250924_16.csv,2025-09-24T16:12:00+00:00
meta_acct_15,meta_camp_108,meta_adset_199,meta_ad_735,meta_cr_739,2025-12-22 20:00:00,Asia/Singapore,unknown,instagram,search_results,REELZ,,19.0,16.0,25.0,7.0,22.0,7.0,3.98,181,11,3,0.275524,PHP,PAUSED,PUBLISHED,,2025-12-22T12:00:00+00:00,row_h63e4gjg53ca,hash_2ouwtglv2mafk8,meta_20251222_12.csv,2025-12-22T12:26:00+00:00
meta_acct_19,meta_camp_92,meta_adset_223,meta_ad_1457,meta_cr_2191,2025-12-01 04:00:00,,desktop,facebook,search_results,VIDEO,45.0,51.0,40.0,38.0,38.0,33.0,5.0,15.86,162,5,0,0.143587,PHP,DRAFT,VALIDATED,,2025-11-30T20:00:00+00:00,row_p77zhb4s9bo0,hash_rnxxopydhxx2xk,meta_20251130_20.csv,2025-11-30T22:05:00+00:00
meta_acct_5,meta_camp_67,meta_adset_389,meta_ad_1223,meta_cr_2461,2025-12-15 09:00:00,Asia/Manila,deskotp,instagram,search_results,REELZ,6.0,7.0,10.0,12.0,8.0,6.0,6.0,4.0,141,3,1,0.077588,PHP,LIMITED,RECEIVED,,2025-12-15T01:00:00+00:00,row_2tbk1n0419x8,hash_hbbd21x69winey,meta_20251215_01.csv,2025-12-15T03:40:00+00:00
meta_acct_9,meta_camp_44,meta_adset_347,meta_ad_985,meta_cr_723,2025-10-06 07:00:00,Asia/Singapore,moblie,facebook,right_column,REELZ,30.0,76.0,44.0,74.0,74.0,37.0,39.0,9.78,277,4,1,0.036321,USD,ACTIVE,VALIDATED,,2025-10-05T23:00:00+00:00,row_s1nbfxyo315s,hash_x1ryqj9spc05ob,meta_20251005_23.csv,2025-10-05T23:44:00+00:00
meta_acct_18,meta_camp_61,meta_adset_374,meta_ad_1206,meta_cr_1398,2025-12-01 14:00:00,Asia/Singapore,mobile,facebook,feed,REELS,12.0,13.0,7.0,14.0,3.0,7.0,4.0,2.65,99,0,0,0.014867,EUR,ACTIVE,VALIDATED,,2025-12-01T06:00:00+00:00,row_xhyqxa87j7ty,hash_m2eesvsor2giz0,meta_20251201_06.csv,2025-12-01T07:08:00+00:00
meta_acct_15,meta_camp_119,meta_adset_374,meta_ad_895,meta_cr_1833,2025-10-09 07:00:00,Asia/Manila,unknown,instagram,search_results,REELS,8.0,35.0,39.0,30.0,30.0,10.0,25.0,3.19,88,0,0,0.083175,AUD,ACTIVE,VALIDATED,,2025-10-08T23:00:00+00:00,row_78o30ncvepsb,hash_hkzfvmt5w4hirh,meta_20251008_23.csv,2025-10-08T23:06:00+00:00
meta_acct_10,meta_camp_11,meta_adset_334,meta_ad_807,meta_cr_1909,2025-11-11 14:00:00,Asia/Manila,MOBILE,audience_network,in_stream,UNKNOWN,,,,,,,,,144,5,3,0.145067,USD,ACTIVE,PUBLISHED,,2025-11-11T06:00:00+00:00,row_uwe1fosyjik6,hash_iz39utny79mvf8,meta_20251111_06.csv,2025-11-11T18:24:00+00:00
meta_acct_7,meta_camp_79,meta_adset_230,meta_ad_53,meta_cr_741,2025-11-10 06:00:00,Asia/Singapore,desktop,instagram,stories,IMAGE,,,,,,,,,20,0,0,0.021159,PHP,ACTIVE,RECEIVED,,2025-11-09T22:00:00+00:00,row_bimd6pdubxxo,hash_fyg1u08wlpv6fi,meta_20251109_22.csv,2025-11-09T23:20:00+00:00
meta_acct_1,meta_camp_64,meta_adset_369,meta_ad_1285,meta_cr_1660,2026-01-12 00:00:00,Asia/Singapore,desktop,audience_network,right_column,VIDEO,8.0,24.0,44.0,50.0,25.0,11.0,2.0,4.98,283,5,1,0.114359,EUR,ACTIVE,QUARANTINED,,2026-01-11T16:00:00+00:00,row_w79cjuj8w9az,hash_ds9cqspl1wfmp0,meta_20260111_16.csv,2026-01-11T18:50:00+00:00
meta_acct_1,meta_camp_83,meta_adset_366,meta_ad_711,meta_cr_1533,2025-12-08 03:00:00,Asai/Manila,unknown,instagram,feed,REELZ,,27.0,15.0,29.0,20.0,15.0,3.0,,286,2,0,0.471273,USD,ACTIVE,QUARANTINED,MISSING_VIDEO_DURATION,2025-12-07T19:00:00+00:00,row_ggyhqf2t0pnj,hash_u49ozya79ivfvq,meta_20251207_19.csv,2025-12-08T19:09:00+00:00
meta_acct_6,meta_camp_31,meta_adset_272,meta_ad_257,meta_cr_709,2026-01-01 16:00:00,,moblie,instagram,stories,REELS,45.0,194.0,178.0,196.0,80.0,233.0,107.0,10.8,887,18,6,0.153127,USD,DRAFT,VALIDATED,,2026-01-01T08:00:00+00:00,row_np9ylei19kdn,hash_8j1trbiqpdr6ww,meta_20260101_08.csv,2026-01-03T08:03:00+00:00
meta_acct_13,meta_camp_104,meta_adset_322,meta_ad_1329,meta_cr_815,2025-11-22 01:00:00,Asia/Singapore,mobile,facebook,right_column,REELS,15.0,25.0,19.0,11.0,5.0,0.0,3.0,7.72,118,4,0,0.017533,PHP ,ACTIVE,QUARANTINED,,2025-11-21T17:00:00+00:00,row_y5wk4ktoef8w,hash_8dpc1n1uxo00xg,meta_20251121_17.csv,2025-11-21T17:42:00+00:00
meta_acct_16,meta_camp_75,meta_adset_360,meta_ad_1385,meta_cr_1043,2025-10-22 18:00:00,Asai/Manila,desktop,instagram,right_column,CAROUSEL,,,,,,,,,78,4,1,0.049958,SGD,ACTIVE,VALIDATED,,2025-10-22T10:00:00+00:00,row_qsxfpbmyxhax,hash_gwjp7snga0w8vi,meta_20251022_10.csv,2025-10-22T22:10:00+00:00
meta_acct_10,meta_camp_84,meta_adset_397,meta_ad_779,meta_cr_742,2026-01-11 08:00:00,Asai/Manila,moblie,facebook,in_stream,CAROUSEL,,,,,,,,,205,3,1,0.104772,USD,ACTIVE,PUBLISHED,,2026-01-11T00:00:00+00:00,row_m0ub1x19zaa7,hash_cczdmgjgiachle,meta_20260111_00.csv,2026-01-11T12:14:00+00:00
meta_acct_3,meta_camp_19,meta_adset_231,meta_ad_1197,meta_cr_2185,2025-10-17 10:00:00,Asia/Singapore,deskotp,audience_network,feed,VIDEO,20.0,18.0,22.0,9.0,3.0,8.0,6.0,7.83,90,3,0,0.058351,USD,ACTIVE,QUARANTINED,,2025-10-17T02:00:00+00:00,row_if5jwdiynn5i,hash_7ac0k1yxsi464h,meta_20251017_02.csv,2025-10-17T03:15:00+00:00
meta_acct_1,meta_camp_118,meta_adset_282,meta_ad_1485,meta_cr_835,2025-12-02 21:00:00,,mobile,audience_network,in_stream,CAROUSEL,,,,,,,,,134,6,1,0.044863,USD,ACTIVE,PUBLISHED,,2025-12-02T13:00:00+00:00,row_84uwuz4c7q5j,hash_sjx2qeqe9wtvl0,meta_20251202_13.csv,2025-12-02T14:08:00+00:00
meta_acct_8,meta_camp_58,meta_adset_203,meta_ad_481,meta_cr_1595,2025-11-13 20:00:00,,unknown,instagram,stories,VIDEO,8.0,5.0,1.0,9.0,5.0,3.0,2.0,2.66,50,0,0,0.029941,SGD,PAUSED,PUBLISHED,,2025-11-13T12:00:00+00:00,row_5v00dye5eyq8,hash_4j2dw47mlyki9u,meta_20251113_12.csv,2025-11-13T18:42:00+00:00
meta_acct_3,meta_camp_27,meta_adset_112,meta_ad_1391,meta_cr_691,2025-09-28 13:00:00,,mobile,facebook,stories,IMAGE,,,,,,,,,81,2,0,0.087053,PHP,ACTIVE,ENRICHED,,2025-09-28T05:00:00+00:00,row_ko3p0qfkw4hp,hash_3l120i8pabk85p,meta_20250928_05.csv,2025-09-28T17:11:00+00:00
meta_acct_17,meta_camp_1,meta_adset_31,meta_ad_185,meta_cr_993,2026-01-11 03:00:00,Asai/Manila,desktop,instagram,right_column,REELS,,36.0,35.0,7.0,9.0,27.0,2.0,,249,15,2,0.071393,PHP,ACTIVE,VALIDATED,,2026-01-10T19:00:00+00:00,row_y5d49vhwvmsa,hash_ghkga4lr9tz421,meta_20260110_19.csv,2026-01-11T07:11:00+00:00
meta_acct_14,meta_camp_5,meta_adset_392,meta_ad_1447,meta_cr_2448,2025-12-28 03:00:00,Asai/Manila,moblie,instagram,feed,UNKNOWN,,,,,,,,,105,6,3,0.044801,PHP,ACTIVE,QUARANTINED,,2025-12-27T19:00:00+00:00,row_4etndgbs3417,hash_hjkxyvaupclo85,meta_20251227_19.csv,2025-12-27T21:13:00+00:00
meta_acct_14,meta_camp_87,meta_adset_45,meta_ad_744,meta_cr_848,2025-12-26 09:00:00,Asia/Manila,MOBILE,audience_network,stories,CAROUSEL,,,,,,,,,225,8,2,0.106461,EUR,ARCHIVED,PUBLISHED,,2025-12-26T01:00:00+00:00,row_ogx7hxvjfts9,hash_tkkbcc076tb89s,meta_20251226_01.csv,2025-12-26T01:58:00+00:00
meta_acct_7,meta_camp_120,meta_adset_296,meta_ad_940,meta_cr_1681,2026-01-01 15:00:00,Asia/Singapore,deskotp,facebook,reels,CAROUSEL,,,,,,,,,354,6,3,0.38346,PHP,ACTIVE,ENRICHED,,2026-01-01T07:00:00+00:00,row_jwbmsbr6nmlt,hash_nv0ey6g9jsmyxr,meta_20260101_07.csv,2026-01-01T08:59:00+00:00
meta_acct_12,meta_camp_98,meta_adset_253,meta_ad_1001,meta_cr_231,2025-12-20 13:00:00,Asia/Manila,unknown,instagram,in_stream,UNKNOWN,,,,,,,,,41,2,0,0.023611,USD,PAUSED,VALIDATED,,2025-12-20T05:00:00+00:00,row_586cke8m8wzw,hash_xhcd7xbpzs6chf,meta_20251220_05.csv,2025-12-20T06:34:00+00:00
