ad_account_id,campaign_id,ad_group_id,pin_promotion_id,pin_id,date,hour,timezone,device_type,surface,creative_type,video_duration_seconds,impressions,clicks,spend,currency_code,saves,outbound_clicks,pipeline_status,ad_state,quarantine_reason,ingested_at,row_id,row_hash,source_file,ingested_at_utc
pin_acct_19,pin_camp_119,pin_grp_537,pin_prom_1661,pin_2981,2025-10-19,10,Asia/Manila,TABLET,homefeed,CAROUSEL,,70,1,0.051531,PHP,7,0,VALIDATED,DISAPPROVED,,2025-10-20T10:00:00+00:00,row_yiubllfyuc7l,hash_sv9c8dmpvb7a18,pinterest_20251019_10.csv,2025-10-19T16:40:00+00:00
pin_acct_4,pin_camp_24,pin_grp_175,pin_prom_1491,pin_2878,2025-11-04,8,utc,MOBLIE,homefeed,VIDEO,,99,2,0.038287,SGD,0,1,ENRICHED,ACTIVE,,2025-11-04T08:00:00+00:00,row_mfsmyoxfhe2o,hash_rppwnjw1tfjm0l,pinterest_20251104_08.csv,2025-11-05T08:02:00+00:00
pin_acct_9,pin_camp_98,pin_grp_62,pin_prom_438,pin_2687,2025-09-22,11,,TABLET,search,SHOPPING,,190,5,0.154007,AUD,2,2,PUBLISHED,ACTIVE,,2025-09-22T11:00:00+00:00,row_ahr9u0rtghp7,hash_831mvrea541qj2,pinterest_20250922_11.csv,2025-09-22T23:45:00+00:00
pin_acct_19,pin_camp_98,pin_grp_537,pin_prom_1012,,2025-09-29,10,,TABLET,related_pins,VIDEO,,839,2,0.627362,PHP,9,1,QUARANTINED,ACTIVE,MISSING_VIDEO_DURATION,2025-09-29T11:00:00+00:00,row_l4eka2sdo7n0,hash_3fkax6uzcele0z,pinterest_20250929_10.csv,2025-09-29T22:19:00+00:00
pin_acct_18,pin_camp_160,pin_grp_590,pin_prom_982,pin_2566,2025-10-11,5,utc,TABLET,search,UNKNOWN,,149,7,0.102027,SGD,5,1,ENRICHED,ARCHIVED,,2025-10-11T17:00:00+00:00,row_lhsqpewss9xx,hash_ytc3bug6cqnint,pinterest_20251011_05.csv,2025-10-12T05:36:00+00:00
pin_acct_14,pin_camp_107,pin_grp_195,pin_prom_522,pin_2597,2025-10-16,8,Asia/Manila,TABLET,related_pins,STANDARD,,629,33,0.191419,EUR,5,12,VALIDATED,PAUSED,,2025-10-16T08:00:00+00:00,row_tr7qavn9r91b,hash_t8lew7ubo2zydb,pinterest_20251016_08.csv,2025-10-16T10:10:00+00:00
pin_acct_19,pin_camp_133,pin_grp_431,pin_prom_2149,,2025-10-12,21,Asia/Manila,MOBILE,search,CAROUSEL,,593,12,0.689968,EUR,7,2,VALIDATED,PAUSED,,2025-10-12T22:00:00+00:00,row_jwhrgi8z4lmo,hash_6x21ar5vvkbrb8,pinterest_20251012_21.csv,2025-10-13T03:01:00+00:00
pin_acct_20,pin_camp_74,pin_grp_121,pin_prom_1585,pin_255,2025-10-06,6,UTC,MOBLIE,related_pins,VIDEO,,92,1,0.017863,PHP,2,0,VALIDATED,ACTIVE,,2025-10-07T06:00:00+00:00,row_c77juxm71yjq,hash_vll6n4xjoutoee,pinterest_20251006_06.csv,2025-10-06T06:36:00+00:00
pin_acct_18,pin_camp_92,pin_grp_354,pin_prom_2376,,2025-12-23,13,,MOBLIE,related_pins,CAROUSEL,,286,31,0.430761,USD,5,22,VALIDATED,ACTIVE,,2025-12-23T14:00:00+00:00,row_m36ib6rotddq,hash_8hx87mc8ux2izh,pinterest_20251223_13.csv,2025-12-23T13:44:00+00:00
pin_acct_14,pin_camp_120,pin_grp_539,pin_prom_1048,pin_821,2025-09-20,18,Asia/Manila,DESKTOP,related_pins,STANDARD,,65,3,0.028325,USD,1,1,RECEIVED,ACTIVE,,2025-09-21T18:00:00+00:00,row_8m6klhc1nnqi,hash_9az8g9aq2g1c4s,pinterest_20250920_18.csv,2025-09-21T00:16:00+00:00
