ad_account_id,campaign_id,ad_squad_id,ad_id,creative_id,start_time_utc,end_time_utc,device_os,placement,ad_product_type,creative_duration_seconds,view_time_millis,impressions,swipes,spend,currency_code,video_views,engagements,pipeline_status,delivery_status,quarantine_reason,ingested_at,row_id,row_hash,source_file,ingested_at_utc
snap_acct_5,snap_camp_73,snap_squad_67,snap_ad_1704,snap_cr_3432,2025-10-01T01:00:00+00:00,2025-10-01T02:00:00+00:00,Android,Discover,SINGLE_IMAGE,,,74,0,0.023921,USD,,0,VALIDATED,ACTIVE,,2025-10-01T03:00:00+00:00,row_2nvea3343981,hash_s4nn2fbmtmmzcn,snapchat_20251001_01.csv,2025-10-01T03:29:00+00:00
snap_acct_19,snap_camp_167,snap_squad_557,snap_ad_2371,snap_cr_737,2025-11-28T14:00:00+00:00,2025-11-28T15:00:00+00:00,iOS,Discover,UNKNOWN,,,139,3,0.009578,USD,,55,RECEIVED,ACTIVE,,2025-11-28T20:00:00+00:00,row_wlmjn2bmsblu,hash_lyqp16jin8svjn,snapchat_20251128_14.csv,2025-11-28T15:46:00+00:00
snap_acct_12,snap_camp_86,snap_squad_236,snap_ad_1252,snap_cr_43,2025-12-14T07:00:00+00:00,2025-12-14T08:00:00+00:00,iOS,Stories,SINGLE_VIDEO,20.0,77220.0,103,0,0.02906,PHP,39.0,32,ENRICHED,LIMITED,,2025-12-14T07:00:00+00:00,row_oe05pli405op,hash_5pykcw6nce5oxa,snapchat_20251214_07.csv,2025-12-14T07:30:00+00:00
snap_acct_1,snap_camp_77,snap_squad_423,snap_ad_2106,snap_cr_4051,2025-09-28T11:00:00+00:00,2025-09-28T12:00:00+00:00,iOS,Spotlight,SINGLE_VIDEO,12.0,799800.0,240,4,0.241774,PHP,124.0,79,ENRICHED,ACTIVE,,2025-09-28T17:00:00+00:00,row_ki56p1rudxdm,hash_to6cqppp2u441b,snapchat_20250928_11.csv,2025-09-28T11:03:00+00:00
snap_acct_11,snap_camp_9,snap_squad_132,snap_ad_1427,snap_cr_1486,2025-10-01T21:00:00+00:00,2025-10-01T22:00:00+00:00,iOS,Stories,SINGLE_VIDEO,15.0,15150.0,36,0,0.008753,PHP,5.0,7,VALIDATED,ACTIVE,,2025-10-02T03:00:00+00:00,row_ix6rccljitpy,hash_xjo9acaii3ps0t,snapchat_20251001_21.csv,2025-10-03T21:06:00+00:00
snap_acct_14,snap_camp_30,snap_squad_31,snap_ad_1756,snap_cr_3319,2025-10-15T04:00:00+00:00,2025-10-15T05:00:00+00:00,Other,Discover,SINGLE_VIDEO,90.0,2256000.0,196,6,0.071917,EUR,40.0,30,ENRICHED,ACTIVE,,2025-10-15T04:00:00+00:00,row_2d4ucw2dc27a,hash_f4i10egji7xas1,snapchat_20251015_04.csv,2025-10-15T04:47:00+00:00
snap_acct_6,snap_camp_110,snap_squad_265,snap_ad_1073,,2026-01-12T15:00:00+00:00,2026-01-12T16:00:00+00:00,Android,Stories,STORY_AD,6.0,202520.0,238,2,0.236132,PHP,83.0,17,VALIDATED,ACTIVE,,2026-01-12T17:00:00+00:00,row_v8w8razysc2n,hash_1e7nfe1wbpt61r,snapchat_20260112_15.csv,2026-01-12T17:14:00+00:00
snap_acct_14,snap_camp_55,snap_squad_472,snap_ad_193,snap_cr_3478,2025-11-22T17:00:00+00:00,2025-11-22T18:00:00+00:00,Android,Stories,SINGLE_IMAGE,,,513,5,0.163289,PHP,,42,ENRICHED,ACTIVE,,2025-11-22T17:00:00+00:00,row_kwo6xwqmx2w8,hash_4shm080zxmtdt0,snapchat_20251122_17.csv,2025-11-23T05:43:00+00:00
snap_acct_19,snap_camp_99,snap_squad_210,snap_ad_444,snap_cr_1091,2025-11-30T14:00:00+00:00,2025-11-30T15:00:00+00:00,Other,Stories,COLLECTION_AD,,,27,0,0.018686,USD,,1,PUBLISHED,PAUSED,,2025-11-30T16:00:00+00:00,row_dx59v08y9c9z,hash_m0ysxd7oleo1sf,snapchat_20251130_14.csv,2025-11-30T16:57:00+00:00
snap_acct_7,snap_camp_102,snap_squad_304,snap_ad_2316,snap_cr_3145,2025-12-12T13:00:00+00:00,2025-12-12T14:00:00+00:00,Android,Discover,UNKNOWN,,,399,4,0.24878,PHP,,38,VALIDATED,ACTIVE,,2025-12-12T13:00:00+00:00,row_motqfosszvjk,hash_ohlo6sh2ubw4o2,snapchat_20251212_13.csv,2025-12-12T19:37:00+00:00
snap_acct_7,snap_camp_178,snap_squad_11,snap_ad_1876,snap_cr_445,2025-12-08T20:00:00+00:00,2025-12-08T21:00:00+00:00,iOS,Spotlight,SINGLE_VIDEO,30.0,367080.0,147,4,0.01589,SGD,23.0,9,PUBLISHED,ACTIVE,,2025-12-08T22:00:00+00:00,row_b0lnjip94ywi,hash_hyx27ay7ekpbgi,snapchat_20251208_20.csv,2025-12-09T02:29:00+00:00
snap_acct_8,snap_camp_86,snap_squad_305,snap_ad_826,snap_cr_3228,2025-12-01T13:00:00+00:00,2025-12-01T14:00:00+00:00,Android,Discover,STORY_AD,30.0,1353000.0,278,13,0.150314,USD,60.0,13,PUBLISHED,ACTIVE,,2025-12-01T13:00:00+00:00,row_yatitf4sos5q,hash_rgbbgnkz553qms,snapchat_20251201_13.csv,2025-12-01T14:07:00+00:00
snap_acct_7,snap_camp_108,snap_squad_125,snap_ad_703,snap_cr_3907,2026-01-03T05:00:00+00:00,2026-01-03T06:00:00+00:00,iOS,Stories,UNKNOWN,,,323,8,0.20021,PHP,,29,RECEIVED,ACTIVE,,2026-01-03T05:00:00+00:00,row_4tap74vfctno,hash_k7p4ww9ka56a09,snapchat_20260103_05.csv,2026-01-03T17:54:00+00:00
snap_acct_8,snap_camp_149,snap_squad_31,snap_ad_1913,snap_cr_945,2025-11-05T00:00:00+00:00,2025-11-05T01:00:00+00:00,iOS,Discover,UNKNOWN,,,21,0,0.018703,PHP,,4,VALIDATED,ACTIVE,,2025-11-06T00:00:00+00:00,row_1jf12zp4yjit,hash_tdzgyeplpheezc,snapchat_20251105_00.csv,2025-11-05T01:32:00+00:00
