advertiser_id,campaign_id,adgroup_id,ad_id,video_id,stat_time_hour,timezone_offset,device_type,inventory_type,creative_type,video_length_seconds,views_2s,views_6s,views_25p,views_50p,views_75p,views_100p,avg_watch_seconds,impressions,clicks,cost,currency_code,ad_status,pipe_state,quarantine_reason,row_id,row_hash,source_file,ingested_at_utc
tt_adv_4,tt_camp_55,tt_group_369,tt_ad_11,tt_vid_383,2025-10-17 13:00:00,,UNKNOWN,SPARK,VIDEO_AD,60.0,66.0,52.0,51.0,32.0,17.0,1.0,10.88,339,14,0.388021,USD,ENABLE,PUB,,row_ikwdmmkjx25k,hash_db8mt9itde28az,tiktok_20251017_13.csv,2025-10-19T13:57:00+00:00
tt_adv_16,tt_camp_38,tt_group_409,tt_ad_768,tt_vid_374,2025-10-04 23:00:00,+0800,UNKNOWN,IN_FEED,IMAGE,,,,,,,,,213,3,0.158278,USD,ENABLE,ENR,,row_ow7n98pldw4v,hash_4hc0r3drb8kszi,tiktok_20251004_23.csv,2025-10-05T00:32:00+00:00
tt_adv_13,tt_camp_93,tt_group_315,tt_ad_1766,tt_vid_1285,2025-12-27 01:00:00,+0800,PHONE,SPARK,IMAGE,,,,,,,,,153,5,0.013241,SGD,ENABLE,RECV,,row_q43fvwpotaos,hash_t4kzrvv42b85x7,tiktok_20251227_01.csv,2025-12-28T01:17:00+00:00
tt_adv_5,tt_camp_46,tt_group_497,tt_ad_1184,tt_vid_1855,2025-12-04 14:00:00,+0100,TABLET,TOPVIEW,VIDEO,6.0,10.0,11.0,12.0,10.0,4.0,6.0,2.37,92,3,0.040344,USD,ENABLE,ENR,,row_2wolk1uwa47m,hash_azkzszbw65toll,tiktok_20251204_14.csv,2025-12-06T14:12:00+00:00
tt_adv_12,tt_camp_69,tt_group_9,tt_ad_1111,tt_vid_1824,2026-01-12 11:00:00,+0000,TABLET,SPARK,SPARK_AD,10.0,12.0,16.0,7.0,5.0,13.0,9.0,5.07,225,5,0.169695,PHP,ENABLE,PUB,,row_n8y7lfd72wo2,hash_xxrimr0ya76ift,tiktok_20260112_11.csv,2026-01-12T12:22:00+00:00
tt_adv_17,tt_camp_88,tt_group_406,tt_ad_1631,,2025-10-15 16:00:00,+0000,UNKNOWN,IN_FEED,SPARK_AD,15.0,22.0,25.0,12.0,5.0,19.0,9.0,3.65,110,2,0.021127,SGD,DRAFT,VALID,,row_x8igyv10ytu1,hash_0v3wjjv83ee970,tiktok_20251015_16.csv,2025-10-15T22:45:00+00:00
tt_adv_17,tt_camp_9,tt_group_113,tt_ad_544,,2025-09-26 11:00:00,,PHONE,SEARCH,VIDEO,,61.0,41.0,50.0,30.0,11.0,41.0,,187,1,0.101845,php,ENABLE,PUB,,row_v14huj2bvmaa,hash_mdm1wf87mtwscq,tiktok_20250926_11.csv,2025-09-26T11:54:00+00:00
tt_adv_13,tt_camp_60,tt_group_104,tt_ad_1500,tt_vid_696,2025-11-27 14:00:00,+0100,UNKNOWN,SEARCH,SPARK_AD,,87.0,77.0,67.0,30.0,9.0,52.0,23.78,358,23,0.189748,EUR,ENABLE,RECV,,row_6ojnf7acwhb1,hash_lpu04gqspkonj4,tiktok_20251127_14.csv,2025-11-28T14:43:00+00:00
tt_adv_7,tt_camp_97,tt_group_290,tt_ad_1011,tt_vid_235,2025-12-09 16:00:00,+0000,UNKNOWN,IN_FEED,VIDEO,15.0,22.0,16.0,7.0,19.0,3.0,12.0,4.16,246,10,0.137224,USD,ENABLE,PUB,,row_xm6p0qn06g0u,hash_nk6k4yl5pmq9ce,tiktok_20251209_16.csv,2025-12-09T18:03:00+00:00
tt_adv_2,tt_camp_95,tt_group_403,tt_ad_242,tt_vid_2206,2026-01-15 12:00:00,+0800,DESKTOP,TOPVIEW,SPARK_AD,90.0,27.0,25.0,8.0,18.0,14.0,10.0,16.47,377,22,0.443395,PHP,ENABLE,ENR,,row_94cmav8gx4mt,hash_ewlwbiw2980qyv,tiktok_20260115_12.csv,2026-01-15T12:47:00+00:00
