advertiser_account_id,campaign_id,line_item_id,promoted_tweet_id,media_id,hourly_timestamp_utc,device,placement,media_type,video_length,q25,q50,q75,q100,impressions,clicks,engagements,billed_charge_local_micro,currency_code,pipe_status,entity_status,quarantine_reason,loaded_at,row_id,row_hash,source_file,ingested_at_utc
x_acct_1,x_camp_200,x_line_211,,x_media_1258,2025-11-24T18:00:00+00:00,Andriod,search,VIDEO,10,94.0,35.0,6.0,39.0,229,9,25,182187,usd,VAL,ACTIVE,,2025-11-25T00:00:00+00:00,row_spn98x3mtk1a,hash_qqhgjifm4hamxb,x_20251124_18.csv,2025-11-25T18:36:00+00:00
x_acct_1,x_camp_219,x_line_677,x_tweet_2191,x_media_466,2025-12-12T01:00:00+00:00,iOS,timeline,IMAGE,,,,,,431,28,41,250691,USD,PUB,ACTIVE,,2025-12-12T01:00:00+00:00,row_0hd47jy12d39,hash_l0iirpj9i6b5do,x_20251212_01.csv,2025-12-14T01:04:00+00:00
x_acct_18,x_camp_57,x_line_483,x_tweet_1762,x_media_2693,2026-01-11T10:00:00+00:00,Other,search,IMAGE,,,,,,459,17,30,686443,USD,QRN,DRAFT,,2026-01-11T10:00:00+00:00,row_g2xk49dgf6t7,hash_zbnbowz33swxx4,x_20260111_10.csv,2026-01-11T10:54:00+00:00
x_acct_1,x_camp_132,x_line_375,x_tweet_1743,,2025-11-24T05:00:00+00:00,Android,profile,VIDEO,,4.0,19.0,11.0,5.0,240,1,29,-171905,USD,QRN,PAUSED,MISSING_VIDEO_DURATION,2025-11-25T05:00:00+00:00,row_ejpstkifk82p,hash_zivqc2sgghkhqu,x_20251124_05.csv,2025-11-24T05:14:00+00:00
x_acct_10,x_camp_164,x_line_399,x_tweet_467,x_media_1986,2026-01-10T15:00:00+00:00,Android,timeline,GIF,,,,,,57,0,7,64766,USD,QRN,PAUSED,,2026-01-10T21:00:00+00:00,row_k38i392fzns8,hash_ghehyas2em0qs5,x_20260110_15.csv,2026-01-12T15:57:00+00:00
x_acct_1,x_camp_87,x_line_227,x_tweet_706,x_media_1101,2025-09-21T07:00:00+00:00,Andriod,timeline,IMAGE,,,,,,109,5,4,153339,USD,VAL,ACTIVE,,2025-09-21T07:00:00+00:00,row_vnck8n57h497,hash_pay69g3m3cg3wg,x_20250921_07.csv,2025-09-23T07:27:00+00:00
x_acct_16,x_camp_64,x_line_555,x_tweet_459,x_media_425,2025-11-06T01:00:00+00:00,Web,timeline,VIDEO,,81.0,74.0,6.0,26.0,268,18,32,221386,USD,QRN,ACTIVE,MISSING_VIDEO_DURATION,2025-11-06T01:00:00+00:00,row_b07lnlipxo71,hash_qlirfoutf34a07,x_20251106_01.csv,2025-11-06T07:50:00+00:00
x_acct_4,x_camp_2,x_line_166,x_tweet_63,,2025-12-26T12:00:00+00:00,Other,timeline,VID,,2.0,5.0,0.0,,119,11,6,75247,USD,VAL,LIMITED,,2025-12-26T18:00:00+00:00,row_q47dbt51yyzm,hash_gg191grkr8gud9,x_20251226_12.csv,2025-12-27T00:28:00+00:00
x_acct_3,x_camp_76,x_line_590,x_tweet_2129,x_media_1289,2025-12-09T03:00:00+00:00,Andriod,timeline,VIDEO,12,11.0,3.0,1.0,8.0,118,4,3,5555,USD,VAL,ACTIVE,,2025-12-09T03:00:00+00:00,row_8r2nsfwfvohx,hash_p30s5qivpnd7rh,x_20251209_03.csv,2025-12-11T03:08:00+00:00
x_acct_5,x_camp_52,x_line_559,x_tweet_716,x_media_1113,2026-01-06T01:00:00+00:00,iOS,search,GIF,,,,,,428,59,96,104610,USD,RCV,ACTIVE,,2026-01-06T01:00:00+00:00,row_9ghq48yid1ah,hash_bjk8h8xog5l7vo,x_20260106_01.csv,2026-01-07T01:42:00+00:00
