customer_id,campaign_id,ad_group_id,ad_id,asset_id,segments_date,segments_hour,account_tz,device_category,network_type,ad_type,video_duration_seconds,quartile_25,quartile_50,quartile_75,quartile_100,avg_view_duration_seconds,impressions,clicks,views,cost_micros,currency_code,pipeline_status,primary_status,policy_summary,quarantine_reason,loaded_at,row_id,row_hash,source_file,ingested_at_utc
gg_acct_13,gg_camp_75,gg_group_255,,gg_asset_1375,2025-10-23,15,Asia/Manila ,DESKTOP,YOUTUBE_SEARCH,SKIPPABLE_IN_STREAM,20.0,23.0,7.0,18.0,9.0,8.52,229,10,48.0,35672,USD,PUBLISHED,DISAPPROVED,,,2025-10-24T15:00:00+00:00,row_rvnwxtnbapgs,hash_a1e89sv52ivrf7,youtube_20251023_15.csv,2025-10-24T03:22:00+00:00
gg_acct_18,gg_camp_154,gg_group_350,gg_ad_1879,gg_asset_1466,2025-11-21,15,,TABLET,YOUTUBE_SEARCH,NON_SKIPPABLE,20.0,15.0,24.0,37.0,44.0,2.38,396,5,83.0,322690,USD,RECEIVED,PAUSED,,,2025-11-21T15:00:00+00:00,row_o4u0rxrnutv4,hash_9r27n9f0j9kqgq,youtube_20251121_15.csv,2025-11-21T16:40:00+00:00
gg_acct_19,gg_camp_13,gg_group_154,,gg_asset_3093,2025-10-24,12,America/Los_Angeles,OTHER,YOUTUBE_SEARCH,MASTHEAD,6.0,2.0,5.0,0.0,3.0,1.33,54,3,8.0,40173,USD,PUBLISHED,REMOVED,,,2025-10-24T18:00:00+00:00,row_9k92gc81v7al,hash_h83irl8oduniw8,youtube_20251024_12.csv,2025-10-25T00:03:00+00:00
gg_acct_20,gg_camp_166,gg_group_54,gg_ad_2291,gg_asset_50,2025-12-07,21,,MOBIL,YOUTUBE_WATCH,NON_SKIPPABLE,30.0,78.0,34.0,68.0,36.0,9.49,393,31,102.0,591229,USD,ENRICHED,ENABLED,,,2025-12-08T03:00:00+00:00,row_kbabyr14759p,hash_7r7ei9576fs9fp,youtube_20251207_21.csv,2025-12-07T21:49:00+00:00
gg_acct_16,gg_camp_77,gg_group_551,gg_ad_1207,gg_asset_1294,2025-10-03,16,,MOBIL,YOUTUBE_WATCH,SKIPPABLE_IN_STREAM,15.0,81.0,27.0,22.0,,5.71,468,16,137.0,240627,USD,PUBLISHED,PAUSED,,,2025-10-03T17:00:00+00:00,row_umayhqbryaim,hash_31htuwz938re4k,youtube_20251003_16.csv,2025-10-03T17:19:00+00:00
gg_acct_7,gg_camp_198,gg_group_129,gg_ad_791,gg_asset_807,2025-12-29,23,Asia/Manila ,DESKTOP,DISPLAY_NETWORK,NON_SKIPPABLE,10.0,1.0,1.0,1.0,0.0,3.03,145,12,5.0,-81291,USD,PUBLISHED,ENABLED,,,2025-12-30T23:00:00+00:00,row_5nyj9onbv2t5,hash_pq62o38bi5q2ed,youtube_20251229_23.csv,2025-12-30T23:04:00+00:00
gg_acct_2,gg_camp_150,gg_group_367,gg_ad_839,,2025-11-15,6,America/Los_Angeles,MOBIL,YOUTUBE_SEARCH,BUMPER,90.0,17.0,14.0,11.0,3.0,30.63,523,58,24.0,644823,USD,PUBLISHED,ENABLED,,,2025-11-16T06:00:00+00:00,row_qj6ksrkjr89y,hash_u4iwnnkgeitdaw,youtube_20251115_06.csv,2025-11-16T06:05:00+00:00
gg_acct_15,gg_camp_154,gg_group_506,gg_ad_973,gg_asset_427,2025-12-10,23,,MOBIL,YOUTUBE_WATCH,DISCOVERY,45.0,7.0,3.0,1.0,8.0,21.09,56,0,18.0,61487,USD,ENRICHED,DISAPPROVED,,,2025-12-11T23:00:00+00:00,row_su8zphpsc92w,hash_9v0ffhk8ww8tz3,youtube_20251210_23.csv,2025-12-11T11:57:00+00:00
gg_acct_13,gg_camp_160,gg_group_13,gg_ad_767,gg_asset_958,2025-12-04,21,Asia/Manila ,MOBILE,YOUTUBE_WATCH,DISCOVERY,12.0,99.0,79.0,52.0,37.0,6.05,219,26,110.0,105452,USD,ENRICHED,DRAFT,,,2025-12-04T22:00:00+00:00,row_c6txh5hqn1p9,hash_x51d9vrybk6w90,youtube_20251204_21.csv,2025-12-04T22:17:00+00:00
gg_acct_19,gg_camp_15,gg_group_198,gg_ad_2050,gg_asset_899,2025-10-22,11,America/Los_Angeles,MOBIL,DISPLAY_NETWORK,MASTHEAD,10.0,1.0,4.0,2.0,3.0,0.95,110,7,15.0,131320,USD,PUBLISHED,ENABLED,,,2025-10-22T12:00:00+00:00,row_ggqertddg87k,hash_zh4ncmxtjudhbp,youtube_20251022_11.csv,2025-10-22T11:10:00+00:00
